bls_series_id,bls_item_code,bls_item_name,area_code,area_name,year,period,date,price_usd,grams_per_priced_unit,edible_fraction,edible_grams_per_priced_unit,price_per_100g_usd,fdc_id,fdc_description,protein_g_per_100g,fiber_g_per_100g,protein_g_per_dollar,fiber_g_per_dollar,value_source
APU0100703613,703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",0100,Northeast,2023,M06,2023-06-01,10.064,453.6,1,453.6,2.2187,168728,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",19.9,0,8.97,0.00,portal-data (3 sig figs)
APU0200703613,703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,13.568,453.6,1,453.6,2.9912,168728,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",19.9,0,6.65,0.00,portal-data (3 sig figs)
APU0300703613,703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,14.291,453.6,1,453.6,3.1506,168728,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",19.9,0,6.32,0.00,portal-data (3 sig figs)
APU0400703613,703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,17.236,453.6,1,453.6,3.7998,168728,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",19.9,0,5.24,0.00,portal-data (3 sig figs)
APU0000704111,704111,"Bacon, sliced, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,6.561,453.6,1,453.6,1.4464,168277,"Pork, cured, bacon, unprepared",13.66,0,9.44,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0100704111,704111,"Bacon, sliced, per lb. (453.6 gm)",0100,Northeast,2026,M06,2026-06-01,7.527,453.6,1,453.6,1.6594,168277,"Pork, cured, bacon, unprepared",13.66,0,8.23,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0200704111,704111,"Bacon, sliced, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,6.246,453.6,1,453.6,1.3770,168277,"Pork, cured, bacon, unprepared",13.66,0,9.92,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0300704111,704111,"Bacon, sliced, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,6.218,453.6,1,453.6,1.3708,168277,"Pork, cured, bacon, unprepared",13.66,0,9.96,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0400704111,704111,"Bacon, sliced, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,6.668,453.6,1,453.6,1.4700,168277,"Pork, cured, bacon, unprepared",13.66,0,9.29,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0000704212,704212,"Chops, boneless, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,4.555,453.6,1,453.6,1.0042,167839,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",21.55,0,21.46,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0100704212,704212,"Chops, boneless, per lb. (453.6 gm)",0100,Northeast,2026,M06,2026-06-01,4.185,453.6,1,453.6,0.9226,167839,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",21.55,0,23.36,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0200704212,704212,"Chops, boneless, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,4.559,453.6,1,453.6,1.0051,167839,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",21.55,0,21.44,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0300704212,704212,"Chops, boneless, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,4.774,453.6,1,453.6,1.0525,167839,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",21.55,0,20.48,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0400704212,704212,"Chops, boneless, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,4.502,453.6,1,453.6,0.9925,167839,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",21.55,0,21.71,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0000704312,704312,"Ham, boneless, excluding canned, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,5.508,453.6,1,453.6,1.2143,168295,"Pork, cured, ham, boneless, extra lean and regular, unheated",18.3,0,15.07,0.00,portal-data (3 sig figs)
APU0100704312,704312,"Ham, boneless, excluding canned, per lb. (453.6 gm)",0100,Northeast,2026,M06,2026-06-01,5.389,453.6,1,453.6,1.1881,168295,"Pork, cured, ham, boneless, extra lean and regular, unheated",18.3,0,15.40,0.00,portal-data (3 sig figs)
APU0200704312,704312,"Ham, boneless, excluding canned, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,5.520,453.6,1,453.6,1.2169,168295,"Pork, cured, ham, boneless, extra lean and regular, unheated",18.3,0,15.04,0.00,portal-data (3 sig figs)
APU0300704312,704312,"Ham, boneless, excluding canned, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,5.615,453.6,1,453.6,1.2379,168295,"Pork, cured, ham, boneless, extra lean and regular, unheated",18.3,0,14.78,0.00,portal-data (3 sig figs)
APU0400704312,704312,"Ham, boneless, excluding canned, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,5.378,453.6,1,453.6,1.1856,168295,"Pork, cured, ham, boneless, extra lean and regular, unheated",18.3,0,15.43,0.00,portal-data (3 sig figs)
APU0000706111,706111,"Chicken, fresh, whole, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,2.044,453.6,0.61,276.7,0.7387,171447,"Chicken, broilers or fryers, meat and skin, raw",18.6,0,25.18,0.00,existing repo CSV (full precision); yield measure re-verified on portal-data
APU0100706111,706111,"Chicken, fresh, whole, per lb. (453.6 gm)",0100,Northeast,2026,M06,2026-06-01,2.151,453.6,0.61,276.7,0.7774,171447,"Chicken, broilers or fryers, meat and skin, raw",18.6,0,23.93,0.00,existing repo CSV (full precision); yield measure re-verified on portal-data
APU0200706111,706111,"Chicken, fresh, whole, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,2.091,453.6,0.61,276.7,0.7557,171447,"Chicken, broilers or fryers, meat and skin, raw",18.6,0,24.61,0.00,existing repo CSV (full precision); yield measure re-verified on portal-data
APU0300706111,706111,"Chicken, fresh, whole, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,1.955,453.6,0.61,276.7,0.7066,171447,"Chicken, broilers or fryers, meat and skin, raw",18.6,0,26.33,0.00,existing repo CSV (full precision); yield measure re-verified on portal-data
APU0400706111,706111,"Chicken, fresh, whole, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,2.102,453.6,0.61,276.7,0.7597,171447,"Chicken, broilers or fryers, meat and skin, raw",18.6,0,24.48,0.00,existing repo CSV (full precision); yield measure re-verified on portal-data
APU0000708111,708111,"Eggs, grade A, large, per doz.",0000,U.S. city average,2026,M06,2026-06-01,2.141,600,1,600.0,0.3568,171287,"Egg, whole, raw, fresh",12.56,0,35.20,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0100708111,708111,"Eggs, grade A, large, per doz.",0100,Northeast,2024,M10,2024-10-01,3.717,600,1,600.0,0.6195,171287,"Egg, whole, raw, fresh",12.56,0,20.27,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0200708111,708111,"Eggs, grade A, large, per doz.",0200,Midwest,2025,M09,2025-09-01,3.626,600,1,600.0,0.6043,171287,"Egg, whole, raw, fresh",12.56,0,20.78,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0300708111,708111,"Eggs, grade A, large, per doz.",0300,South,2026,M06,2026-06-01,2.218,600,1,600.0,0.3697,171287,"Egg, whole, raw, fresh",12.56,0,33.98,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0000709112,709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit)",0000,U.S. city average,2026,M06,2026-06-01,4.317,3904,1,3904.0,0.1106,171265,"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,0,28.49,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0100709112,709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit)",0100,Northeast,2024,M10,2024-10-01,4.420,3904,1,3904.0,0.1132,171265,"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,0,27.82,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0200709112,709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit)",0200,Midwest,2020,M04,2020-04-01,2.574,3904,1,3904.0,0.0659,171265,"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,0,47.78,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0300709112,709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit)",0300,South,2026,M06,2026-06-01,4.049,3904,1,3904.0,0.1037,171265,"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,0,30.37,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0400709112,709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit)",0400,West,2026,M06,2026-06-01,4.845,3904,1,3904.0,0.1241,171265,"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,0,25.38,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0000710211,710211,"American processed cheese, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,4.626,453.6,1,453.6,1.0198,171290,"Cheese, pasteurized process, American, without added vitamin D",18.1,0,17.75,0.00,portal-data (3 sig figs)
APU0100710211,710211,"American processed cheese, per lb. (453.6 gm)",0100,Northeast,2024,M10,2024-10-01,5.610,453.6,1,453.6,1.2368,171290,"Cheese, pasteurized process, American, without added vitamin D",18.1,0,14.63,0.00,portal-data (3 sig figs)
APU0200710211,710211,"American processed cheese, per lb. (453.6 gm)",0200,Midwest,2022,M09,2022-09-01,4.169,453.6,1,453.6,0.9191,171290,"Cheese, pasteurized process, American, without added vitamin D",18.1,0,19.69,0.00,portal-data (3 sig figs)
APU0300710211,710211,"American processed cheese, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,4.503,453.6,1,453.6,0.9927,171290,"Cheese, pasteurized process, American, without added vitamin D",18.1,0,18.23,0.00,portal-data (3 sig figs)
APU0400710211,710211,"American processed cheese, per lb. (453.6 gm)",0400,West,2022,M09,2022-09-01,4.631,453.6,1,453.6,1.0209,171290,"Cheese, pasteurized process, American, without added vitamin D",18.1,0,17.73,0.00,portal-data (3 sig figs)
APU0000710212,710212,"Cheddar cheese, natural, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,5.960,453.6,1,453.6,1.3139,173414,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",22.87,0,17.41,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0100710212,710212,"Cheddar cheese, natural, per lb. (453.6 gm)",0100,Northeast,2024,M10,2024-10-01,6.516,453.6,1,453.6,1.4365,173414,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",22.87,0,15.92,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0200710212,710212,"Cheddar cheese, natural, per lb. (453.6 gm)",0200,Midwest,2025,M04,2025-04-01,5.673,453.6,1,453.6,1.2507,173414,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",22.87,0,18.29,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0300710212,710212,"Cheddar cheese, natural, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,5.302,453.6,1,453.6,1.1689,173414,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",22.87,0,19.57,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0400710212,710212,"Cheddar cheese, natural, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,7.381,453.6,1,453.6,1.6272,173414,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",22.87,0,14.05,0.00,existing repo CSV (full precision); fiber 0.0 from portal-data
APU0000FF1101,FF1101,"Chicken breast, boneless, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,4.181,453.6,1,453.6,0.9217,171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",22.5,0,24.41,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0100FF1101,FF1101,"Chicken breast, boneless, per lb. (453.6 gm)",0100,Northeast,2026,M06,2026-06-01,3.930,453.6,1,453.6,0.8664,171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",22.5,0,25.97,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0200FF1101,FF1101,"Chicken breast, boneless, per lb. (453.6 gm)",0200,Midwest,2026,M06,2026-06-01,3.980,453.6,1,453.6,0.8774,171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",22.5,0,25.64,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0300FF1101,FF1101,"Chicken breast, boneless, per lb. (453.6 gm)",0300,South,2026,M06,2026-06-01,4.128,453.6,1,453.6,0.9101,171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",22.5,0,24.72,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0400FF1101,FF1101,"Chicken breast, boneless, per lb. (453.6 gm)",0400,West,2026,M06,2026-06-01,4.605,453.6,1,453.6,1.0152,171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",22.5,0,22.16,0.00,existing repo CSV (full precision); fiber 0.0 read from portal-data
APU0000FS1101,FS1101,"Butter, stick, per lb. (453.6 gm)",0000,U.S. city average,2026,M06,2026-06-01,3.816,453.6,1,453.6,0.8413,173410,"Butter, salted",0.85,0,1.01,0.00,portal-data (3 sig figs); SR Legacy publishes 0.85 at full precision
APU0200FS1101,FS1101,"Butter, stick, per lb. (453.6 gm)",0200,Midwest,2018,M09,2018-09-01,4.303,453.6,1,453.6,0.9486,173410,"Butter, salted",0.85,0,0.90,0.00,portal-data (3 sig figs); SR Legacy publishes 0.85 at full precision
APU0400FS1101,FS1101,"Butter, stick, per lb. (453.6 gm)",0400,West,2024,M05,2024-05-01,4.696,453.6,1,453.6,1.0353,173410,"Butter, salted",0.85,0,0.82,0.00,portal-data (3 sig figs); SR Legacy publishes 0.85 at full precision
